"Publication Type","Authors","Book Authors","Book Editors","Book Group Authors","Author Full Names","Book Author Full Names","Group Authors","Article Title","Source Title","Book Series Title","Book Series Subtitle","Language","Document Type","Conference Title","Conference Date","Conference Location","Conference Sponsor","Conference Host","Author Keywords","Keywords Plus","Abstract","Addresses","Affiliations","Reprint Addresses","Email Addresses","Researcher Ids","ORCIDs","Funding Orgs","Funding Name Preferred","Funding Text","Cited References","Cited Reference Count","Times Cited, WoS Core","Times Cited, All Databases","180 Day Usage Count","Since 2013 Usage Count","Publisher","Publisher City","Publisher Address","ISSN","eISSN","ISBN","Journal Abbreviation","Journal ISO Abbreviation","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Meeting Abstract","Start Page","End Page","Article Number","DOI","DOI Link","Book DOI","Early Access Date","Number of Pages","WoS Categories","Web of Science Index","Research Areas","IDS Number","Pubmed Id","Open Access Designations","Highly Cited Status","Hot Paper Status","Date of Export","UT (Unique WOS ID)","Web of Science Record"
"J","Cerqueti, R; Giacalone, M; Mattera, R","","","","Cerqueti, Roy; Giacalone, Massimiliano; Mattera, Raffaele","","","Skewed non-Gaussian GARCH models for cryptocurrencies volatility modelling","INFORMATION SCIENCES","","","English","Article","","","","","","Generalized error distribution; GARCH models; Skewed distributions; Volatility forecasting; Non linear GARCH","STYLIZED FACTS; ASSET RETURNS; RISK; BITCOIN; REGRESSION; SKEWNESS","Recently, cryptocurrencies have attracted a growing interest from investors, practitioners and researchers. Nevertheless, few studies have focused on the predictability of them. In this paper we propose a new and comprehensive study about cryptocurrency market, evaluating the forecasting performance for three of the most important cryptocurrencies (Bitcoin, Ethereum and Litecoin) in terms of market capitalization. At this aim, we consider non-Gaussian GARCH volatility models, which form a class of stochastic recursive systems commonly adopted for financial predictions. Results show that the best specification and forecasting accuracy are achieved under the Skewed Generalized Error Distribution when Bitcoin/USD and Litecoin/USD exchange rates are considered, while the best performances are obtained for skewed Distribution in the case of Ethereum/USD exchange rate. The obtain findings state the effectiveness - in terms of prediction performance - of relaxing the normality assumption and considering skewed distributions. (C) 2020 Elsevier Inc. All rights reserved.","[Cerqueti, Roy] Sapienza Univ Rome, Dept Social & Econ Sci, Rome, Italy; [Cerqueti, Roy] London South Bank Univ, Sch Business, London, England; [Giacalone, Massimiliano; Mattera, Raffaele] Univ Naples Federico II, Dept Econ & Stat, Naples, Italy","Sapienza University Rome; London South Bank University; University of Naples Federico II","Giacalone, M (corresponding author), Univ Naples Federico II, Dept Econ & Stat, Naples, Italy.","massimiliano.giacalone@unina.it","Mattera, Raffaele/AAF-8044-2021","Mattera, Raffaele/0000-0001-8770-7049; CERQUETI, ROY/0000-0002-1871-7371; GIACALONE, Massimiliano/0000-0002-4284-520X","","","","","48","19","20","0","16","ELSEVIER SCIENCE INC","NEW YORK","STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","0020-0255","1872-6291","","INFORM SCIENCES","Inf. Sci.","JUL","2020","527","","","","","","1","26","","10.1016/j.ins.2020.03.075","http://dx.doi.org/10.1016/j.ins.2020.03.075","","","26","Computer Science, Information Systems","Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)","Computer Science","LN1HG","","Green Submitted","","","2022-12-04","WOS:000532695700001","View Full Record in Web of Science"
"J","Bejaoui, A; Ben Sassi, S; Majdoub, J","","","","Bejaoui, Azza; Ben Sassi, Salim; Majdoub, Jihed","","","Market dynamics, cyclical patterns and market states Is there a difference between digital currencies markets?","STUDIES IN ECONOMICS AND FINANCE","","","English","Article","","","","","","Regime switching; Volatility; Cryptocurrencies; Bull and bear markets; C5; C22; G1","BITCOIN; VOLATILITY; INEFFICIENCY; DEPENDENCE; EFFICIENCY; MEMORY","Purpose In this paper, the authors seek to investigate the dynamics of Bitcoin, Litecoin, Ethereum and Ripple daily returns and volatilities. Design/methodology/approach In this paper, the authors apply the MS-ARMA model on daily returns of Bitcoin (19/04/2013-13/02/2018), Ripple (05/08/2013-14/02/2018), Litcoin (29/04/2013-14/02/2018) and Ethereum (08/02/2015-14/02/2018). This model allows capture of the nonlinear structure in both the conditional mean and the conditional variance of cryptocurrency returns. Findings All the cryptocurrency markets show regime switching in the return-generating process. Market dynamics seem to be governed by two different states which differ from one cryptocurrency market to another in terms of mean return, volatility and interstate dynamics. These findings can be explained by investors' behavior, i.e. speculative trading and herding behavior. By choosing to participate (or imitating some investors) in some cryptocurrency markets (in particular Bitcoin market), they affect the price movements and therefore the market dynamics in the short run. Practical implications Identifying the different market states provides information for investors to make more accurate portfolio decisions in the virtual market and follow the market timing strategy. Originality/value This paper attempts to analyze potential nonlinear structure in cryptocurrencies returns and analyze if there is a difference between the cryptocurrencies market cycles. So, the search for congruent and adequate specification to reproduce the stock returns dynamics in the virtual market still remains the concern of several empirical studies. This research not only examines the behavior of stock returns in the cryptocurrencies' market but also highlights the existence of nonlinearity propriety as a stylized fact.","[Bejaoui, Azza] Higher Inst Management, Dept Finance & Accounting, Le Bardo, Tunisia; [Ben Sassi, Salim] Higher Inst Management, Dept Quantitat Methods & Econ, Le Bardo, Tunisia; [Majdoub, Jihed] Higher Inst Management, Dept Finance & Accounting, Tunis, Tunisia","Universite de Tunis","Bejaoui, A (corresponding author), Higher Inst Management, Dept Finance & Accounting, Le Bardo, Tunisia.","bjaouiazza2@yahoo.fr; salimbensassi@yahoo.fr; jihed.majdoub@gmail.com","","","","","","","49","4","4","0","10","EMERALD GROUP PUBLISHING LTD","BINGLEY","HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","1086-7376","1755-6791","","STUD ECON FINANC","Stud. Econ. Financ.","NOV 17","2020","37","4","","","","","585","604","","10.1108/SEF-08-2019-0302","http://dx.doi.org/10.1108/SEF-08-2019-0302","","","20","Business, Finance","Emerging Sources Citation Index (ESCI)","Business & Economics","PA5UO","","","","","2022-12-04","WOS:000595700600001","View Full Record in Web of Science"
"J","Caliskan, K","","","","Caliskan, Koray","","","Data money: The socio-technical infrastructure of cryptocurrency blockchains","ECONOMY AND SOCIETY","","","English","Article","","","","","","blockchain; cryptocurrency; Bitcoin; infrastructure; platform; data money","BITCOIN; ECONOMIZATION; POWER","Drawing on an empirical study of cryptocurrency white papers, this paper proposes an actor-based taxonomy of cryptocurrency blockchains. First, it describes the evolution of blockchain architecture with reference to the economic services that blockchains supply. Second, it discusses the socio-technical platform of blockchains as proposed in cryptocurrency white papers. Third, it analyses the socio-economic consequences of these technically diverse blockchain platforms, by proposing a taxonomy of their digital architectures in reference to two groups of actors that maintain blockchain infrastructure: transactioners and accountants. Defining cryptocurrency as data money, and locating cryptocurrency ownership as the possession of an exclusive right to move data privately in a public or private space, the paper describes a blockchain as a digital actor-network platform that makes it possible to define and distribute these data transfer rights.","[Caliskan, Koray] New Sch, Parsons Sch Design, Sch Design Strategies, 2 West 13th St, New York, NY 10011 USA","The New School","Caliskan, K (corresponding author), New Sch, Parsons Sch Design, Sch Design Strategies, 2 West 13th St, New York, NY 10011 USA.","koraycaliskan@newschool.edu","","Caliskan, Koray/0000-0001-9876-9405","","","","","44","15","15","3","16","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","0308-5147","1469-5766","","ECON SOC","Econ. Soc.","OCT 1","2020","49","4","","","","","540","561","","10.1080/03085147.2020.1774258","http://dx.doi.org/10.1080/03085147.2020.1774258","","","22","Economics; Sociology","Social Science Citation Index (SSCI)","Business & Economics; Sociology","PB6DV","","","","","2022-12-04","WOS:000596410200003","View Full Record in Web of Science"
"C","Birmpas, G; Koutsoupias, E; Lazos, P; Marmolejo-Cossio, FJ","","Bonneau, J; Heninger, N","","Birmpas, Georgios; Koutsoupias, Elias; Lazos, Philip; Marmolejo-Cossio, Francisco J.","","","Fairness and Efficiency in DAG-Based Cryptocurrencies","FINANCIAL CRYPTOGRAPHY AND DATA SECURITY, FC 2020","Lecture Notes in Computer Science","","English","Proceedings Paper","24th International Conference on Financial Cryptography and Data Security (FC)","FEB 14-14, 2020","Kota Kinabalu, MALAYSIA","","","","BITCOIN","Bitcoin is a decentralised digital currency that serves as an alternative to existing transaction systems based on an external central authority for security. Although Bitcoin has many desirable properties, one of its fundamental shortcomings is its inability to process transactions at high rates. To address this challenge, many subsequent protocols either modify the rules of block acceptance (longest chain rule) and reward, or alter the graphical structure of the public ledger from a tree to a directed acyclic graph (DAG). Motivated by these approaches, we introduce a new general framework that captures ledger growth for a large class of DAG-based implementations. With this in hand, and by assuming honest miner behaviour, we (experimentally) explore how different DAG-based protocols perform in terms of fairness, as well as efficiency. To do so, we isolate different parameters of the network (such as k, the number of pointers to previous blocks) and study their effect on those performance metrics. Our results demonstrate how the DAG-based ledger protocols described by our framework cope with a high transaction load. More specifically, we show that even in a scenario where every miner on the system is honest in terms of when they publish blocks, what they point to, and what transactions each block contains, fairness and efficiency of this kind of ledgers can break down at specific hash rates if miners have differing levels of connectivity to the P2P network sustaining the protocol. (The full version of this paper can be found in [ 2]).","[Birmpas, Georgios; Koutsoupias, Elias; Marmolejo-Cossio, Francisco J.] Univ Oxford, Oxford, England; [Lazos, Philip] Sapienza Univ Rome, Rome, Italy","University of Oxford; Sapienza University Rome","Marmolejo-Cossio, FJ (corresponding author), Univ Oxford, Oxford, England.","georgios.birmpas@cs.ox.ac.uk; elias.koutsoupias@cs.ox.ac.uk; lazos@diag.uniroma1.it; francisco.marmolejo@cs.ox.ac.uk","","Marmolejo-Cossio, Francisco/0000-0003-3219-7963","ERC [321171, 639945, 788893]; MIUR PRIN project ALGADIMAR; Mexican National Council of Science and Technology (CONACyT)","ERC(European Research Council (ERC)European Commission); MIUR PRIN project ALGADIMAR(Ministry of Education, Universities and Research (MIUR)); Mexican National Council of Science and Technology (CONACyT)(Consejo Nacional de Ciencia y Tecnologia (CONACyT))","Georgios Birmpas was supported by the ERC Advanced Grants 321171 (ALGAME) and 639945 (ACCORD). Philip Lazos is supported by the ERC Advanced Grant 788893 (AMDROMA) and the MIUR PRIN project ALGADIMAR. Francisco J. MarmolejoCoss ' io was supported by the Mexican National Council of Science and Technology (CONACyT). We would also like to thank Elizabeth Smith for fruitful discussions during the preparation of this work.","","24","0","0","1","1","SPRINGER INTERNATIONAL PUBLISHING AG","CHAM","GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND","0302-9743","1611-3349","978-3-030-51280-4; 978-3-030-51279-8","LECT NOTES COMPUT SC","","","2020","12059","","","","","","79","96","","10.1007/978-3-030-51280-4_6","http://dx.doi.org/10.1007/978-3-030-51280-4_6","","","18","Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods","Conference Proceedings Citation Index - Science (CPCI-S)","Computer Science","BS3NK","","Green Submitted","","","2022-12-04","WOS:000713581800005","View Full Record in Web of Science"
"J","Li, WB; Cao, MW; Wang, Y; Tang, CB; Lin, FL","","","","Li, Wenbai; Cao, Mengwen; Wang, Yue; Tang, Changbing; Lin, Feilong","","","Mining Pool Game Model and Nash Equilibrium Analysis for PoW-Based Blockchain Networks","IEEE ACCESS","","","English","Article","","","","","","Nash equilibrium; Games; Analytical models; Peer-to-peer computing; Computational modeling; Bitcoin; Blockchain; PoW consensus; game model; Nash equilibrium","","Blockchain technology, has the characteristics of decentralization, openness and transparency, so that everyone can participate in database recording. Therefore, blockchain technology has a good application prospect in various industries. As the most successful application of blockchain technology, the Bitcoin system applies the Proof of Work (PoW) consensus mechanism. Under the PoW consensus mechanism, each miner competes through his own power to solve a SHA256 mathematical problem together, so as to gain profits. Due to the difficulty of the cryptography puzzle, miners tend to join the mining pool to obtain stable income. And the block withholding attacks will be carried out between the mining pools, so as to maximize his own income by controlling the infiltration rate dispatched to other mining pools. In this paper, we build a game model between mining pools based on the PoW consensus algorithm, and analyze its Nash equilibrium from two perspectives. The influence of the mining pools' power, the ratio of the power to be infiltrated, and the betrayed rate of dispatched miners on the mining pool's infiltration rate selection and income were explored, and the results were obtained through numerical simulations.","[Li, Wenbai] Zhejiang Normal Univ, Coll Econ & Management, Jinhua 321004, Zhejiang, Peoples R China; [Li, Wenbai; Cao, Mengwen; Wang, Yue; Lin, Feilong] Zhejiang Normal Univ, Coll Math & Comp Sci, Jinhua 321004, Zhejiang, Peoples R China; [Tang, Changbing] Zhejiang Normal Univ, Coll Phys & Elect Informat Engn, Jinhua 321004, Zhejiang, Peoples R China","Zhejiang Normal University; Zhejiang Normal University; Zhejiang Normal University","Lin, FL (corresponding author), Zhejiang Normal Univ, Coll Math & Comp Sci, Jinhua 321004, Zhejiang, Peoples R China.","bruce_lin@zjnu.edu.cn","Lin, Feilong/GRN-9551-2022","Lin, Feilong/0000-0003-0981-3721","National Natural Science Foundation of China [61877055]; Zhejiang Provincial Natural Science Foundation of China [LY18F030013]","National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Zhejiang Provincial Natural Science Foundation of China(Natural Science Foundation of Zhejiang Province)","This work was supported in part by the National Natural Science Foundation of China under Grant 61877055, and in part by the Zhejiang Provincial Natural Science Foundation of China under Grant LY18F030013.","","20","19","19","4","21","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","PISCATAWAY","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","2169-3536","","","IEEE ACCESS","IEEE Access","","2020","8","","","","","","101049","101060","","10.1109/ACCESS.2020.2997996","http://dx.doi.org/10.1109/ACCESS.2020.2997996","","","12","Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications","Science Citation Index Expanded (SCI-EXPANDED)","Computer Science; Engineering; Telecommunications","LZ3LG","","gold","","","2022-12-04","WOS:000541129100034","View Full Record in Web of Science"
"J","Blau, B; Griffith, T; Whitby, R","","","","Blau, Benjamin; Griffith, Todd; Whitby, Ryan","","","Comovement in the Cryptocurrency Market","ECONOMICS BULLETIN","","","English","Article","","","","","","","EXCESS COMOVEMENT; STOCK RETURNS; INFORMATION","This study examines the comovement between 17 of the most active cryptocurrencies. We are unable to statistically reject the presence of perfect comovement between Bitcoin and six of the 16 non-Bitcoin cryptocurrencies. Consistent with the friction-based explanation for the presence of comovement, once the CBOE introduced futures contracts on Bitcoin, we find that all 16 cryptocurrencies comove with Bitcoin. These results suggest that introducing futures contracts improves the informational environment of the entire cryptocurrency market, which helps explain the unusual comovement in the cryptocurrency market.","[Blau, Benjamin; Griffith, Todd; Whitby, Ryan] Utah State Univ, Logan, UT 84322 USA","Utah System of Higher Education; Utah State University","Blau, B (corresponding author), Utah State Univ, Logan, UT 84322 USA.","ben.blau@usu.edu; todd.griffith@usu.edu; ryan.whitby@usu.edu","","","","","","","18","7","7","0","2","ECONOMICS BULLETIN","NASHVILLE","C/O JOHN CONLEY, DEPT ECONOMICS, 414 CALHOUN HALL, NASHVILLE, TN 37235 USA","1545-2921","","","ECON BULL","Econ. Bull.","","2020","40","1","","","","","448","+","","","","","","9","Economics","Emerging Sources Citation Index (ESCI)","Business & Economics","KT8MW","","","","","2022-12-04","WOS:000519266700038","View Full Record in Web of Science"
"J","Arli, D; van Esch, P; Bakpayev, M; Laurence, A","","","","Arli, Denni; van Esch, Patrick; Bakpayev, Marat; Laurence, Andrea","","","Do consumers really trust cryptocurrencies?","MARKETING INTELLIGENCE & PLANNING","","","English","Article","","","","","","Anxiety; Cryptocurrencies; Knowledge; Marketing; Trust; Bitcoin","BITCOIN; TECHNOLOGY; BLOCKCHAIN; ACCEPTANCE; ECONOMICS; SERVICES; ADOPTION","Purpose In this study, we focus on consumer perceptions of cryptocurrencies. We hypothesize that knowledge of cryptocurrencies, trust in government, and the speed of transactions are the main factors contributing to consumers' trust in cryptocurrencies. Design/methodology/approach 451 MTurk workers, a convenient sample incentivized with a small monetary payment, participated in a cross-sectional online study with cryptocurrencies serving as the focal product category. Findings We obtained support for our hypothesized notion that knowledge of cryptocurrencies, trust in government, and the speed of transactions are the main factors contributing to consumers' trust in cryptocurrencies. Our research makes several important theoretical contributions. First, we demonstrate that consumers who understand and know how cryptocurrencies work are more likely to trust and invest in the currency. Next, we demonstrate that consumers are more likely to trust cryptocurrencies and their peer-to-peer transactions if, preferably, they take place via a central issuer and are regulated by their respective governments. Originality/value This study is the first known paper to focus on cryptocurrencies from the consumers' perspective. Next, we identify key antecedents of trust towards cryptocurrencies. Second, we reveal the role of government concerning cryptocurrencies. Finally, FinTech firms and banks (should they choose to enter the cryptocurrency market) need not spend time and money on marketing, advertising, and promotions in order to try to allay consumers' anxiety when it comes to their uptake in the different digital currencies. Rather, this would allow the FinTech firms and banks to allocate resources to focus their attention on marketing, advertising and promoting the factors (i.e. knowledge, trust in government, and speed of transaction) that drive intent to invest in cryptocurrencies.","[Arli, Denni; Bakpayev, Marat] Univ Minnesota, Dept Mkt, Duluth, MN 55812 USA; [van Esch, Patrick] Auckland Univ Technol, Dept Mkt, Auckland, New Zealand; [Laurence, Andrea] Western Sydney Univ, Dept Mkt, Penrith, NSW, Australia","University of Minnesota System; University of Minnesota Duluth; Auckland University of Technology; Western Sydney University","Arli, D (corresponding author), Univ Minnesota, Dept Mkt, Duluth, MN 55812 USA.","darli@d.umn.edu; Patrick.van.esch@aut.ac.nz; mbakpaye@umn.edu; andrea.laurence@outlook.com","van Esch, Patrick/ABE-9472-2021; Arli, Denni/AAK-4715-2021","van Esch, Patrick/0000-0002-0541-9340; Arli, Denni/0000-0002-6320-3994","","","","","90","14","14","15","84","EMERALD GROUP PUBLISHING LTD","BINGLEY","HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","0263-4503","1758-8049","","MARK INTELL PLAN","Mark. Intell. Plan.","FEB 1","2021","39","1","","","","","74","90","","10.1108/MIP-01-2020-0036","http://dx.doi.org/10.1108/MIP-01-2020-0036","","JUN 2020","17","Business","Social Science Citation Index (SSCI)","Business & Economics","QE0QU","","","","","2022-12-04","WOS:000539581500001","View Full Record in Web of Science"
"J","Su, CW; Li, ZZ; Tao, R; Si, DK","","","","Su, Chi-Wei; Li, Zheng-Zheng; Tao, Ran; Si, Deng-Kui","","","RETRACTION: Testing for multiple bubbles in bitcoin markets: A generalized sup ADF test (Retraction of Vol 46, Pg 56, 2018)","JAPAN AND THE WORLD ECONOMY","","","English","Retraction","","","","","","","","","[Su, Chi-Wei; Si, Deng-Kui] Qingdao Univ, Sch Econ, Qingdao, Peoples R China; [Li, Zheng-Zheng] Ocean Univ China, Dept Finance, Qingdao, Peoples R China; [Tao, Ran] Shandong Entry Exit Inspect & Quarantine Bur, Technol Ctr, Qingdao, Peoples R China","Qingdao University; Ocean University of China","Su, CW (corresponding author), Qingdao Univ, Sch Econ, Qingdao, Peoples R China.","cwsu7137@gmail.com","Su, Chi Wei/ABE-4976-2021","","","","","","1","0","0","2","13","ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","0922-1425","1879-2006","","JPN WORLD ECON","Jpn. World Econ.","MAR","2020","53","","","","","","","","100983","10.1016/j.japwor.2019.100983","http://dx.doi.org/10.1016/j.japwor.2019.100983","","","1","Economics","Social Science Citation Index (SSCI)","Business & Economics","KM9VB","","Bronze","","","2022-12-04","WOS:000514487700007","View Full Record in Web of Science"
"C","Koutsouri, A; Poli, F; Alfieri, E; Petch, M; Distaso, W; Knottenbelt, WJ","","Pardalos, P; Kotsireas, I; Guo, Y; Knottenbelt, W","","Koutsouri, Aikaterini; Poli, Francesco; Alfieri, Elise; Petch, Michael; Distaso, Walter; Knottenbelt, William J.","","","Balancing Cryptoassets and Gold: A Weighted-Risk-Contribution Index for the Alternative Asset Space","MATHEMATICAL RESEARCH FOR BLOCKCHAIN ECONOMY, MARBLE 2019","Springer Proceedings in Business and Economics","","English","Proceedings Paper","1st International Conference on Mathematical Research for Blockchain Economy (MARBLE)","MAY 06-09, 2019","Santorini, GREECE","Brevan Howard Ctr Financial Anal,Asseth,Aventus Io","","Cryptoassets; Index; Volatility; Rebalancing premium; Risk management; Asset allocation; Equal risk contribution; Weighted risk contribution; Bitcoin; Gold","SAFE HAVEN; HEDGE","Bitcoin is foremost amongst the emerging asset class known as cryptoassets. Two noteworthy characteristics of the returns of non-stablecoin cryptoassets are their high volatility, which brings with it a high level of risk, and their high intraclass correlation, which limits the benefits that can be had by diversifying across multiple cryptoassets. Yet cryptoassets exhibit no correlation with gold, a highly-liquid yet scarce asset which has proved to function as a safe haven during crises affecting traditional financial systems. As exemplified by Shannon'sDemon, a lack of correlation between assets opens the door to principled risk control through so-called volatility harvesting involving periodic rebalancing. In this paper we propose an index which combines a basket of five cryptoassets with an investment in gold in away that aims to improve the risk profile of the resulting portfolio while preserving its independence frommainstream financial asset classes such as stocks, bonds and fiat currencies. We generalise the theory of Equal Risk Contribution to allow for weighting according to a desired level of contribution to volatility. We find a crypto-gold weighting based on Weighted Risk Contribution to be historically more effective in terms of Sharpe Ratio than several alternative asset allocation strategies including Shannon's Demon. Within the crypto-basket, whose constituents are selected and rebalanced monthly, we find an EqualWeighting scheme to be more effective in terms of the same metric than a market capitalisation weighting.","[Koutsouri, Aikaterini; Knottenbelt, William J.] Imperial Coll London, Dept Comp, London SW7 2AZ, England; [Poli, Francesco; Distaso, Walter] Imperial Coll London, Dept Finance, London SW7 2AZ, England; [Alfieri, Elise] Univ Grenoble Alpes, F-38000 Grenoble, France; [Petch, Michael] CoinShares, 5 Cheapside, London EC2V 6AA, England","Imperial College London; Imperial College London; Communaute Universite Grenoble Alpes; UDICE-French Research Universities; Universite Grenoble Alpes (UGA)","Koutsouri, A (corresponding author), Imperial Coll London, Dept Comp, London SW7 2AZ, England.","k.koutsouri@imperial.ac.uk; f.poli@imperial.ac.ok; Elise.Alfieri@univ-grenoble-alpes.fr; mpetch@coinshares.co.uk; w.distaso@imperial.ac.uk; wjk@doc.ic.ac.uk","","Distaso, Walter/0000-0002-4122-0160","CoinShares; Elwood Capital Management","CoinShares; Elwood Capital Management","Imperial College of London gratefully acknowledges the support given mutually by CoinShares and Elwood Capital Management. Their funding provides Imperial with the support needed to conduct the research found within this paper.","","21","0","0","0","8","SPRINGER INTERNATIONAL PUBLISHING AG","CHAM","GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND","2198-7246","2198-7254","978-3-030-37110-4; 978-3-030-37109-8","SPR PROC BUS ECON","","","2020","","","","","","","217","232","","10.1007/978-3-030-37110-4_15","http://dx.doi.org/10.1007/978-3-030-37110-4_15","","","16","Business; Computer Science, Theory & Methods; Economics; Mathematics, Interdisciplinary Applications","Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)","Business & Economics; Computer Science; Mathematics","BR9FH","","Green Submitted","","","2022-12-04","WOS:000675370400014","View Full Record in Web of Science"
"J","Stone, M","","","","Stone, Mallory","","","WHAT EVEN IS A BITCOIN? COMMENT ON HOW DEFINING CRYPTOCURRENCY WILL HAVE DIFFERENT IMPLICATIONS FOR COVERAGE UNDER A HOMEOWNERS POLICY","CONNECTICUT INSURANCE LAW JOURNAL","","","English","Article","","","","","","","","","[Stone, Mallory] Loyola Univ, New Orleans, LA 70118 USA","","Stone, M (corresponding author), Loyola Univ, New Orleans, LA 70118 USA.","","","","","","","","23","0","0","0","0","UNIV CONNECTICUT, SCH LAW","HARTFORD","65 ELIZABETH ST, HARTFORD, CT 06105 USA","1081-9436","","","CONN INSUR LAW J","Conn. Insur. Law J.","","2020","27","2","","","","","175","185","","","","","","11","Law","Emerging Sources Citation Index (ESCI)","Government & Law","YU2ED","","","","","2022-12-04","WOS:000751859700005","View Full Record in Web of Science"
"J","Alonso-Monsalve, S; Suarez-Cetrulo, AL; Cervantes, A; Quintana, D","","","","Alonso-Monsalve, Saul; Suarez-Cetrulo, Andres L.; Cervantes, Alejandro; Quintana, David","","","Convolution on neural networks for high-frequency trend prediction of cryptocurrency exchange rates using technical indicators","EXPERT SYSTEMS WITH APPLICATIONS","","","English","Article","","","","","","Cryptocurrencies; Neural network; Finance; Technical analysis; Deep learning","TIME-SERIES; STOCK; BITCOIN; MODEL; DIVERSIFICATION; ALGORITHMS; LIQUIDITY; SENTIMENT; DIRECTION; PRICES","This study explores the suitability of neural networks with a convolutional component as an alternative to traditional multilayer perceptrons in the domain of trend classification of cryptocurrency exchange rates using technical analysis in high frequencies. The experimental work compares the performance of four different network architectures-convolutional neural network, hybrid CNN-LSTM network, multilayer perceptron and radial basis function neural network- to predict whether six popular cryptocurrencies Bitcoin, Dash, Ether, Litecoin, Monero and Ripple- will increase their value vs. USD in the next minute. The results, based on 18 technical indicators derived from the exchange rates at a one-minute resolution over one year, suggest that all series were predictable to a certain extent using the technical indicators. Convolutional LSTM neural networks outperformed all the rest significantly, while CNN neural networks were also able to provide good results specially in the Bitcoin, Ether and Litecoin cryptocurrencies. (C) 2020 Elsevier Ltd. All rights reserved.","[Alonso-Monsalve, Saul] CERN, Geneva, Switzerland; [Suarez-Cetrulo, Andres L.] Univ Coll Dublin, Ctr Appl Data Analyt Res, Dublin D04 V2N9, Ireland; [Alonso-Monsalve, Saul; Suarez-Cetrulo, Andres L.; Cervantes, Alejandro; Quintana, David] Univ Carlos III Madrid, Dept Comp Sci & Engn, Avda Univ 30, Leganes 28911, Spain","European Organization for Nuclear Research (CERN); University College Dublin; Universidad Carlos III de Madrid","Cervantes, A (corresponding author), Univ Carlos III Madrid, Dept Comp Sci & Engn, Avda Univ 30, Leganes 28911, Spain.","saul.alonso.monsalve@cern.ch; andres.suarez-cetrulo@ucd.ie; acervant@inf.uc3m.es; dquintan@inf.uc3m.es","Cervantes, Alejandro/AIA-5653-2022; Quintana, David/K-9146-2014; Suarez Cetrulo, Andres Leon/C-9498-2014","Cervantes, Alejandro/0000-0001-5442-953X; Quintana, David/0000-0003-0320-1695; Suarez Cetrulo, Andres Leon/0000-0001-5266-5053; Alonso-Monsalve, Saul/0000-0002-9678-7121","Spanish Ministry of Science, Innovation and Universities [PGC2018096849-B-I00]","Spanish Ministry of Science, Innovation and Universities(Spanish Government)","We would like to thank the editor and external reviewers for their thoughtful and detailed comments on our paper. We would also like to acknowledge the financial support of the Spanish Ministry of Science, Innovation and Universities under grant PGC2018096849-B-I00 (MCFin).","","82","46","46","10","84","PERGAMON-ELSEVIER SCIENCE LTD","OXFORD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","0957-4174","1873-6793","","EXPERT SYST APPL","Expert Syst. Appl.","JUL 1","2020","149","","","","","","","","113250","10.1016/j.eswa.2020.113250","http://dx.doi.org/10.1016/j.eswa.2020.113250","","","15","Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Operations Research & Management Science","Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)","Computer Science; Engineering; Operations Research & Management Science","LD1VL","","Green Accepted","","","2022-12-04","WOS:000525819400014","View Full Record in Web of Science"
